frame_index,frame_time,transformed_gaze_x,transformed_gaze_y
832,33.34,557.3651733398438,73.748291015625
833,33.38,548.473388671875,131.4375457763672
834,33.42,540.8519897460938,172.03683471679688
835,33.461,539.3237915039062,201.56581115722656
836,33.501,491.6080017089844,199.8657989501953
837,33.541,487.2611389160156,216.22471618652344
838,33.581,485.33740234375,230.4199981689453
839,33.621,481.77606201171875,243.09690856933594
840,33.661,473.35833740234375,254.03695678710938
841,33.701,464.37908935546875,260.6623229980469
842,33.741,452.891845703125,265.0589294433594
843,33.781,442.8707580566406,264.1737365722656
844,33.821,435.729736328125,260.91851806640625
845,33.861,433.8231201171875,255.79617309570312
846,33.901,437.20513916015625,244.45411682128906
847,33.941,447.7969970703125,229.5930633544922
848,33.981,461.3244323730469,216.42465209960938
849,34.022,471.3231506347656,208.33653259277344
850,34.062,475.27569580078125,207.53921508789062
851,34.102,477.656494140625,207.88775634765625
852,34.142,476.7151184082031,209.64346313476562
853,34.182,475.1609802246094,213.9276123046875
854,34.222,569.7286376953125,206.33367919921875
855,34.262,531.1007080078125,248.73486328125
856,34.302,527.3406372070312,248.9544219970703
857,34.342,525.7018432617188,245.86294555664062
858,34.382,525.3211059570312,243.0154571533203
859,34.422,507.7393798828125,252.46920776367188
860,34.462,506.909423828125,259.741943359375
861,34.502,512.5989379882812,261.6595458984375
862,34.542,514.02685546875,263.3802795410156
863,34.583,512.3408203125,265.5540771484375
864,34.623,509.4482727050781,265.0194091796875
865,34.663,507.8119812011719,263.80694580078125
866,34.703,508.15740966796875,261.0316467285156
867,34.743,507.70928955078125,264.7121276855469
868,34.783,506.09381103515625,261.1407165527344
869,34.823,502.9441833496094,249.05804443359375
870,34.863,505.524658203125,242.2315673828125
871,34.903,545.9166259765625,229.00975036621094
872,34.943,605.869140625,186.9247283935547
873,34.983,606.0955810546875,189.9352264404297
874,35.023,604.6251831054688,194.2459259033203
875,35.063,591.6663818359375,193.82257080078125
876,35.104,458.8227233886719,110.24748992919922
877,35.144,448.78216552734375,100.22554779052734
878,35.184,449.09246826171875,99.67617797851562
879,35.224,455.2196350097656,67.18628692626953
880,35.264,454.9255676269531,69.26009368896484
881,35.304,453.42547607421875,71.71287536621094
882,35.344,454.8501892089844,74.66265106201172
883,35.384,465.210693359375,189.8362579345703
884,35.424,471.6972351074219,266.8583679199219
885,35.464,469.7303466796875,265.9210510253906
886,35.504,467.54376220703125,263.1108703613281
887,35.544,471.4250183105469,245.99716186523438
888,35.584,nan,nan
889,35.624,nan,nan
890,35.665,nan,nan
891,35.705,nan,nan
892,35.745,nan,nan
893,35.785,nan,nan
894,35.825,nan,nan
895,35.865,nan,nan
896,35.905,nan,nan
897,35.945,nan,nan
898,35.985,nan,nan
899,36.025,nan,nan
900,36.065,nan,nan
901,36.105,nan,nan
902,36.145,nan,nan
903,36.185,nan,nan
904,36.226,nan,nan
905,36.266,435.8898620605469,605.497314453125
906,36.306,nan,nan
907,36.346,nan,nan
908,36.386,nan,nan
909,36.426,nan,nan
910,36.466,nan,nan
911,36.506,519.703369140625,592.8956298828125
912,36.546,nan,nan
913,36.586,nan,nan
914,36.626,nan,nan
915,36.666,nan,nan
916,36.706,nan,nan
917,36.746,nan,nan
918,36.787,488.29345703125,603.482177734375
919,36.827,470.3083190917969,605.6543579101562
920,36.867,470.347900390625,601.3572998046875
921,36.907,469.0072326660156,602.771240234375
922,36.947,468.96136474609375,603.1163940429688
923,36.987,512.1505737304688,600.0650024414062
924,37.027,511.6328125,599.3975219726562
925,37.067,500.03704833984375,593.6182861328125
926,37.107,490.1391296386719,595.3817138671875
927,37.147,472.9324951171875,603.4664916992188
928,37.187,nan,nan
929,37.227,nan,nan
930,37.267,nan,nan
931,37.307,nan,nan
932,37.348,nan,nan
933,37.388,nan,nan
934,37.428,nan,nan
935,37.468,554.3062133789062,588.9049682617188
936,37.508,527.8582153320312,592.0668334960938
937,37.548,507.656494140625,594.9476318359375
938,37.588,492.6712646484375,597.2723999023438
939,37.628,481.89215087890625,597.3036499023438
940,37.668,479.3612060546875,597.6236572265625
941,37.708,477.7830505371094,603.439697265625
942,37.748,nan,nan
943,37.788,nan,nan
944,37.828,nan,nan
945,37.869,nan,nan
946,37.909,507.9302978515625,594.713134765625
947,37.949,509.7358703613281,592.554443359375
948,37.989,510.2822265625,592.3402099609375
949,38.029,515.1262817382812,592.2549438476562
950,38.069,516.6642456054688,595.0836181640625
951,38.109,518.897216796875,595.7628173828125
952,38.149,528.7418823242188,603.5771484375
953,38.189,nan,nan
954,38.229,nan,nan
955,38.269,nan,nan
956,38.309,nan,nan
957,38.349,nan,nan
958,38.389,nan,nan
959,38.43,nan,nan
960,38.47,nan,nan
961,38.51,nan,nan
962,38.55,nan,nan
963,38.59,nan,nan
964,38.63,nan,nan
965,38.67,nan,nan
966,38.71,nan,nan
967,38.75,nan,nan
968,38.79,nan,nan
969,38.83,nan,nan
970,38.87,nan,nan
971,38.91,nan,nan
972,38.95,nan,nan
973,38.991,nan,nan
974,39.031,nan,nan
975,39.071,nan,nan
976,39.111,nan,nan
977,39.151,nan,nan
978,39.191,nan,nan
979,39.231,nan,nan
980,39.271,nan,nan
981,39.311,nan,nan
982,39.351,nan,nan
983,39.391,nan,nan
984,39.431,nan,nan
985,39.471,nan,nan
986,39.511,nan,nan
987,39.552,nan,nan
988,39.592,nan,nan
989,39.632,nan,nan
990,39.672,nan,nan
991,39.712,nan,nan
992,39.752,nan,nan
993,39.792,nan,nan
994,39.832,nan,nan
995,39.872,nan,nan
996,39.912,nan,nan
997,39.952,nan,nan
998,39.992,nan,nan
999,40.032,503.3277893066406,599.9603881835938
1000,40.072,487.9342346191406,592.2208251953125
1001,40.113,490.0358581542969,598.3346557617188
1002,40.153,491.3159484863281,599.753173828125
1003,40.193,492.22430419921875,599.9166259765625
1004,40.233,491.0346374511719,595.6828002929688
1005,40.273,485.7578125,585.4478149414062
1006,40.313,485.33544921875,583.6480102539062
1007,40.353,484.73248291015625,582.4837036132812
1008,40.393,486.7247619628906,583.7096557617188
1009,40.433,489.2356262207031,585.0908813476562
1010,40.473,490.39300537109375,586.4694213867188
1011,40.513,491.49237060546875,588.5421752929688
1012,40.553,495.0404968261719,594.3109130859375
1013,40.593,501.2217102050781,603.7779541015625
1014,40.634,nan,nan
1015,40.674,nan,nan
1016,40.714,nan,nan
1017,40.754,nan,nan
1018,40.794,nan,nan
1019,40.834,nan,nan
